epoch,train_loss,val_loss,train_acc,val_acc
1,0.9052911114978017,0.8054553788198232,0.6743477291310489,0.6956521739130435
2,0.8263274253916671,0.8078707004293373,0.6993979038132759,0.7038275733927908
3,0.8155067854279223,0.7265228513269697,0.7014792239649149,0.7324414715719064
4,0.8163654202157694,0.8344386716351462,0.701627889690032,0.7049424005945746
5,0.8032566619647761,0.7677098370005941,0.7087638444956516,0.7257525083612041
6,0.7966023359760904,0.7307080863267239,0.7141158105998663,0.7354143441099963
7,0.8051840675140344,0.7112830456461174,0.7054931985430759,0.7350427350427351
8,0.8046227548544729,0.7057062960698763,0.7067568572065711,0.7432181345224824
9,0.8090158868862122,0.7412036372489178,0.7071285215193638,0.7350427350427351
10,0.8049934636453957,0.7248309161839367,0.7071285215193638,0.7331846897064288
11,0.7941421768811169,0.719328363293478,0.7135954805619565,0.7450761798587886
12,0.8102556384093591,0.7077338057173889,0.7055675314056344,0.73950204384987
13,0.8104865022337606,0.7126289728360299,0.7051958670928418,0.7406168710516536
14,0.7974521207967177,0.7270931990250297,0.7081691815951833,0.7361575622445188
15,0.8015115679612986,0.737621921006298,0.7088381773582101,0.7235228539576366
16,0.8144394229275936,0.7602130706227875,0.7097301717089125,0.7316982534373839
17,0.8124488059414423,0.7255762492976903,0.7053445328179588,0.7361575622445188
18,0.8047341364498503,0.7433781384181374,0.7042295398795808,0.7372723894463025
19,0.7912923240496803,0.703796049867231,0.7138184791496321,0.7406168710516536
20,0.8024003730514613,0.7292848137930307,0.708540845907976,0.7346711259754738
21,0.8019571681939952,0.7020433338013603,0.7114398275477589,0.7443329617242661
22,0.8166572648708168,0.7546224715939156,0.7061621943061028,0.7172054998141955
23,0.8043024447525531,0.8009488984405307,0.7133724819742808,0.6975102192493497
24,0.7938335471318786,0.7126576812326665,0.7141901434624248,0.7350427350427351
25,0.8092299143235533,0.7391352565790897,0.7051215342302832,0.7357859531772576
26,0.8005501923486308,0.7437346754619863,0.7105478331970565,0.7302118171683389
27,0.7942698308812423,0.751008520291136,0.7118858247231101,0.7238944630248978
28,0.8041449127113616,0.7303662386936399,0.7069798557942467,0.7305834262356001
29,0.8062418509458313,0.7342023133168385,0.7084665130454174,0.7421033073206986
30,0.8074754712475832,0.8086355957830763,0.7086151787705345,0.7160906726124118
31,0.8091242769646536,0.7487559060277836,0.70579052999331,0.7276105536975103
32,0.8074257269469565,0.7214623123285541,0.7077975172823906,0.7406168710516536
33,0.7964893001867813,0.722893739047878,0.7113654946852004,0.7339279078409513
34,0.8013789533975089,0.7760277256696297,0.7080948487326247,0.7105165366034931
35,0.8055460584444565,0.730614083932262,0.7047498699174906,0.7328130806391676
36,0.8099696498408793,0.7307651584275103,0.7089125102207686,0.7350427350427351
37,0.8063579896679689,0.7162764915875988,0.709655838846354,0.7376439985135638
38,0.799401531788901,0.7231152886043735,0.7103991674719394,0.738015607580825
39,0.805020632176189,0.7450762450672889,0.7110681632349662,0.7313266443701226
40,0.8027889040122022,0.7102399733995958,0.7087638444956516,0.7421033073206986
