,precision,recall,f1-score,support
0,0.45098039215686275,0.25,0.32167832167832167,92.0
1,0.563953488372093,0.5300546448087432,0.5464788732394367,183.0
2,0.5877862595419847,0.3869346733668342,0.4666666666666667,199.0
3,0.8421900161030595,0.9483227561196736,0.8921108742004265,1103.0
4,0.5909090909090909,0.5391705069124424,0.563855421686747,217.0
accuracy,0.758082497212932,0.758082497212932,0.758082497212932,0.758082497212932
macro avg,0.6071638494166182,0.5308965162415387,0.5581580314943198,1794.0
weighted avg,0.7351315555118878,0.758082497212932,0.7407032479448069,1794.0
