,precision,recall,f1-score,support
0,0.41818181818181815,0.25,0.3129251700680272,92.0
1,0.5359477124183006,0.44808743169398907,0.4880952380952381,183.0
2,0.5205479452054794,0.19095477386934673,0.27941176470588236,199.0
3,0.7863777089783281,0.9211242067089755,0.8484342379958246,1103.0
4,0.4796380090497738,0.48847926267281105,0.4840182648401826,217.0
accuracy,0.7051282051282052,0.7051282051282052,0.7051282051282052,0.7051282051282052
macro avg,0.5481386387667401,0.4597291349890245,0.4825769351410309,1794.0
weighted avg,0.6753602345083966,0.7051282051282052,0.6770169528282451,1794.0
