,precision,recall,f1-score,support
0,0.4642857142857143,0.5652173913043478,0.5098039215686274,92.0
1,0.6949152542372882,0.6721311475409836,0.6833333333333333,183.0
2,0.765625,0.49246231155778897,0.599388379204893,199.0
3,0.9039451114922813,0.9555757026291931,0.9290436315557514,1103.0
4,0.6398104265402843,0.6221198156682027,0.6308411214953271,217.0
accuracy,0.8149386845039019,0.8149386845039019,0.8149386845039019,0.8149386845039019
macro avg,0.6937163013111136,0.6615012737401033,0.6704820774315865,1794.0
weighted avg,0.8127834296404334,0.8149386845039019,0.809842752071665,1794.0
