epoch,phase,loss,acc
1,train,0.817647737392677,0.7021482197279417
1,val,0.6937209415373772,0.7658862876254181
2,train,0.6808894250212678,0.7523972348175129
2,val,0.6164267999627076,0.7967298402081011
3,train,0.6157507663861993,0.7772244109120643
3,val,0.5906311703720575,0.7945001858045336
4,train,0.5709605231600907,0.793800639262618
4,val,0.5816601483142319,0.7907840951319213
5,train,0.512642874218297,0.8164721623429719
5,val,0.6597687281316561,0.7859531772575251
6,train,0.4664552778067628,0.8356500408830745
6,val,0.5805935323326972,0.7930137495354886
7,train,0.4050442132663259,0.8559429123615551
7,val,0.6191244827066377,0.804162021553326
8,train,0.34429675019656664,0.8757897866646845
8,val,0.6411626171950556,0.7859531772575251
9,train,0.28704996115776504,0.8980153125696871
9,val,0.6380646573881463,0.7952434039390561
10,train,0.23536486718780106,0.913773879432097
10,val,0.7945373395436406,0.7513935340022296
11,train,0.19764572752342388,0.9300527763324167
11,val,0.7505284225085729,0.7922705314009663
12,train,0.1660498423249998,0.9415743700289899
12,val,0.8529475228975183,0.7684875510962468
13,train,0.13641031017964642,0.9530216308630046
13,val,0.8733065454368918,0.7937569676700111
14,train,0.11929097176506415,0.9573329368913998
14,val,0.954354097678377,0.782608695652174
15,train,0.12162459960530914,0.9584479298297778
15,val,0.9398341382227614,0.7606837606837608
16,train,0.1052484381444116,0.9626849029956144
16,val,0.9331951978834798,0.79041248606466
17,train,0.09533695093904565,0.967739537649595
17,val,0.9782719659743279,0.7907840951319213
18,train,0.08661154168036639,0.9716048465026389
18,val,0.9128551065744587,0.7881828316610926
19,train,0.0867573306112133,0.9711588493272877
19,val,1.0164381774001874,0.7900408769973988
20,train,0.08426618066939373,0.9713075150524048
20,val,0.9515138292503109,0.7982162764771461
21,train,0.08131670094829886,0.9718278450903145
21,val,0.9163905966685014,0.8019323671497585
22,train,0.062185178244983715,0.9805247900096633
22,val,1.053694581839286,0.7710888145670755
23,train,0.06438080755836871,0.9774771426447633
23,val,1.1005093155187198,0.7844667409884801
24,train,0.07696194150356335,0.9742064966921877
24,val,1.1633772758004923,0.7814938684503903
25,train,0.05227321877063168,0.9834237716494463
25,val,1.0553368466000537,0.7673727238944631
26,train,0.05871850204480094,0.9805991228722218
26,val,1.1922576008610282,0.7565960609438871
27,train,0.0575554012883542,0.9807477885973389
27,val,1.1745114815319306,0.7666295057599406
28,train,0.05587142919042721,0.9797071285215194
28,val,1.1626018676782233,0.7774061687105166
29,train,0.05766907175959203,0.9791867984836097
29,val,1.0960252375983253,0.7658862876254181
30,train,0.050082981347741286,0.9825317772987439
30,val,1.1055243185176942,0.7666295057599406
