,precision,recall,f1-score,support
0,0.42342342342342343,0.5108695652173914,0.4630541871921182,92.0
1,0.7379310344827587,0.5846994535519126,0.6524390243902439,183.0
2,0.83,0.41708542713567837,0.5551839464882943,199.0
3,0.8439215686274509,0.9755213055303718,0.9049621530698065,1103.0
4,0.6932515337423313,0.5207373271889401,0.5947368421052631,217.0
accuracy,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948
macro avg,0.7057055120551928,0.6017826157248588,0.6340752306491452,1794.0
weighted avg,0.7917767041713847,0.7948717948717948,0.7802174367943694,1794.0
