epoch,train_loss,val_loss,train_acc,val_acc
1,0.990827430697309,0.8693061968244526,0.656656507842117,0.6941657376439986
2,0.8583027015146709,0.8340111215156235,0.6953095963725564,0.7023411371237458
3,0.8313354205032498,0.8081324184219972,0.6965732550360515,0.7127461910070606
4,0.8135480834304786,0.7963731476295752,0.70579052999331,0.7108881456707544
5,0.8017934212221723,0.7877150787291851,0.7053445328179588,0.7205499814195466
6,0.7974198054781741,0.7822969498044272,0.7048242027800491,0.7212931995540691
7,0.7898706221486577,0.7779040364517416,0.7142644763249834,0.7205499814195466
8,0.7840589685155798,0.7774302742818792,0.7124804876235784,0.7194351542177629
9,0.7826569212605712,0.7766163043929759,0.7177581208652346,0.7250092902266816
10,0.7794601302301805,0.7704938929216519,0.7132238162491638,0.7253808992939428
11,0.7701926674265441,0.7699589690768732,0.7211774325429273,0.7227796358231141
12,0.7717089200209465,0.7663774926704087,0.7170891251022077,0.7231512448903753
13,0.7724746216418334,0.768229934638515,0.7190217795287297,0.7279821627647715
14,0.763736881335092,0.7704417360887701,0.7228127555192151,0.7238944630248978
15,0.7751045738162936,0.7692117276399032,0.7135954805619565,0.7216648086213304
16,0.761502035110048,0.7701394608897022,0.7173864565524419,0.7198067632850241
17,0.7668750199971744,0.7664645904504158,0.7177581208652346,0.7283537718320328
18,0.763431141626912,0.7636671062740239,0.7168661265145321,0.7238944630248978
19,0.7628782532352112,0.7656950875756822,0.723630417007359,0.7250092902266816
20,0.7622107321610108,0.7621016014645596,0.7208057682301345,0.7220364176885916
21,0.7600761626649858,0.7674409191832583,0.7204341039173419,0.7238944630248978
22,0.7666052226585003,0.7681775752251496,0.7238534155950346,0.7190635451505017
23,0.7696163485965205,0.7647741584253329,0.7203597710547833,0.7246376811594203
24,0.7690481856606011,0.7649432539895581,0.7202111053296663,0.728725380899294
25,0.7555205340032054,0.7612517088241889,0.7258604028841151,0.7231512448903753
26,0.7656808971144724,0.7614816618603607,0.719616442429198,0.7231512448903753
27,0.7694969679231246,0.7653721286567424,0.718650115215937,0.7246376811594203
28,0.7636635440801108,0.7671157580598585,0.7230357541068907,0.7268673355629878
29,0.7657213919332707,0.7661680091229215,0.7211030996803688,0.7194351542177629
30,0.7635576702232902,0.7724396702703691,0.7199137738794321,0.7201783723522854
31,0.7551127024001014,0.7659689838316572,0.7243737456329443,0.7227796358231141
32,0.7625666992961895,0.7673440480577773,0.7190961123912882,0.7253808992939428
33,0.7602007243966982,0.7669681632709255,0.7206571025050175,0.7183203270159793
34,0.7630187315824953,0.7692275605472833,0.7211774325429273,0.7209215904868079
35,0.7639276617026848,0.7703603169413935,0.7202111053296663,0.7212931995540691
36,0.7572985616264969,0.7675356072858558,0.7211030996803688,0.7224080267558529
37,0.753336439223606,0.765209139168639,0.7261577343343493,0.7201783723522854
38,0.7652240664925458,0.7666730609182885,0.7153051364008028,0.7238944630248978
39,0.7612419446711114,0.764090399589737,0.7204341039173419,0.7253808992939428
40,0.7560622715723166,0.7638495714856718,0.7244480784955029,0.7238944630248978
