,precision,recall,f1-score,support
0,0.569620253164557,0.4891304347826087,0.5263157894736842,92.0
1,0.6648351648351648,0.6612021857923497,0.663013698630137,183.0
2,0.7536231884057971,0.5226130653266332,0.6172106824925816,199.0
3,0.9136125654450262,0.9492293744333635,0.9310804802134282,1103.0
4,0.5943775100401606,0.6820276497695853,0.6351931330472103,217.0
accuracy,0.8166109253065775,0.8166109253065775,0.8166109253065775,0.8166109253065775
macro avg,0.6992137363781411,0.6608405420209081,0.6745627567714083,1794.0
weighted avg,0.8142338307209068,0.8166109253065775,0.8123724441714457,1794.0
