epoch,phase,loss,acc
1,train,0.6747589498561155,0.7561138779454397
1,val,0.5935582604407378,0.7952434039390561
2,train,0.45774295930967696,0.835575708020516
2,val,0.511826322288351,0.8246005202526941
3,train,0.35495317995986875,0.8728908050249016
3,val,0.6074098544641747,0.8086213303604608
4,train,0.28826945517255076,0.8987586411952725
4,val,0.5685186763538033,0.8264585655890004
5,train,0.24679957650668877,0.9139968780197726
5,val,0.5865442022260393,0.8223708658491268
6,train,0.21325793501361015,0.9256671374414629
6,val,0.7136815670962141,0.8101077666295058
7,train,0.19119363345993873,0.9329517579721995
7,val,0.6006862987781137,0.8309178743961353
8,train,0.15754986646484995,0.9459600089199436
8,val,0.6741866474920646,0.8052768487551096
9,train,0.1528774259157414,0.9482643276592583
9,val,0.6583595507342502,0.8156819026384244
10,train,0.1435425950018075,0.9514606407492753
10,val,0.7206953072637342,0.8063916759568934
11,train,0.11770217188269216,0.9594142570430388
11,val,0.7888919882108092,0.8056484578223709
12,train,0.12930150416310765,0.9542852895264997
12,val,0.7281658004253648,0.8246005202526941
13,train,0.11593619233337484,0.9604549171188583
13,val,0.8290517056843287,0.8156819026384244
14,train,0.10784460102399512,0.9614955771946778
14,val,0.7636572550560009,0.8234856930509105
15,train,0.10335110669952427,0.9637998959339925
15,val,0.8805384139995157,0.8049052396878484
16,train,0.0967409242565387,0.966773210436334
16,val,0.8153963410158841,0.810479375696767
17,train,0.1045579816848383,0.9633538987586413
17,val,0.772975242938618,0.8156819026384244
18,train,0.09123875494053095,0.9687801977254145
18,val,0.7388211315956669,0.8153102935711631
19,train,0.0898025028547691,0.9696721920761169
19,val,0.7981144621309318,0.8141954663693795
20,train,0.08566483899255656,0.9704898535642609
20,val,0.8662539596718867,0.8067632850241546
21,train,0.0898472928682074,0.9690775291756486
21,val,0.8388937945615753,0.7985878855444073
22,train,0.08624138507020347,0.9707128521519365
22,val,0.7942293762540517,0.8075065031586771
23,train,0.09428715436270553,0.9698951906637925
23,val,0.8021377269240925,0.8149386845039019
24,train,0.0746998115991878,0.9750984910428901
24,val,0.7875074893720684,0.8060200668896321
25,train,0.0861088165379648,0.9709358507396121
25,val,0.8363700277607754,0.8164251207729469
26,train,0.08249290457490624,0.9708615178770535
26,val,0.8129199776550687,0.802675585284281
27,train,0.08048316330702887,0.9724225079907828
27,val,0.9393916131699452,0.8037904124860646
28,train,0.07352164536625942,0.9741321638296292
28,val,0.8783806633510164,0.8089929394277221
29,train,0.07956871519660379,0.9721251765405486
29,val,0.8327978236752344,0.8060200668896321
30,train,0.08375436479819315,0.9708615178770535
30,val,0.8384516054632184,0.8115942028985508
31,train,0.06790863844590761,0.9753214896305658
31,val,0.8811620882300806,0.8149386845039019
32,train,0.0628170988507309,0.9774771426447633
32,val,0.9586069801845146,0.7967298402081011
33,train,0.07101969787173788,0.9748754924552145
33,val,0.9261003544852442,0.7926421404682275
34,train,0.07465324898474077,0.9742064966921877
34,val,0.9019394141121099,0.8008175399479748
35,train,0.06403954949105069,0.9797071285215194
35,val,0.9161265040808386,0.8097361575622446
36,train,0.06584972487152672,0.9784434698580243
36,val,1.016309415666156,0.8067632850241546
37,train,0.07552862387229584,0.9743551624173048
37,val,0.9653270874533765,0.8112225938312895
38,train,0.07303700262443476,0.9745781610049804
38,val,0.9699015605409808,0.7952434039390561
39,train,0.06470067686727794,0.9780718055452317
39,val,0.9186580448689313,0.8127090301003345
40,train,0.05985286234114628,0.9791124656210511
40,val,1.0060054635977222,0.782608695652174
41,train,0.0624742094478022,0.9773284769196462
41,val,0.9698398306755407,0.7963582311408398
42,train,0.061231564202335595,0.9789637998959341
42,val,0.9558619761369521,0.799702712746191
43,train,0.07246983971143776,0.9751728239054487
43,val,0.9573125611978232,0.7985878855444073
44,train,0.06664144714643085,0.9774028097822047
44,val,0.891263823888418,0.8193979933110368
45,train,0.05607382795742779,0.9802274585594292
45,val,0.9098421117046517,0.7878112225938313
