,precision,recall,f1-score,support
0,0.5526315789473685,0.22826086956521738,0.3230769230769231,92.0
1,0.7676056338028169,0.5956284153005464,0.6707692307692308,183.0
2,0.7456140350877193,0.4271356783919598,0.5431309904153354,199.0
3,0.8698517298187809,0.957388939256573,0.9115235217954252,1103.0
4,0.506993006993007,0.6682027649769585,0.5765407554671969,217.0
accuracy,0.7892976588628763,0.7892976588628763,0.7892976588628763,0.7892976588628763
macro avg,0.6885391969299385,0.575323333498251,0.6050082843048223,1794.0
weighted avg,0.7854822016383096,0.7892976588628763,0.775405073424322,1794.0
