,precision,recall,f1-score,support
0,0.4880952380952381,0.44565217391304346,0.4659090909090909,92.0
1,0.6547619047619048,0.6010928961748634,0.6267806267806267,183.0
2,0.5722543352601156,0.49748743718592964,0.532258064516129,199.0
3,0.8918685121107266,0.9347234814143246,0.9127932713590085,1103.0
4,0.5868544600938967,0.576036866359447,0.5813953488372093,217.0
accuracy,0.7837235228539576,0.7837235228539576,0.7837235228539576,0.7837235228539576
macro avg,0.6387668900643764,0.6109985710095216,0.6238272804804129,1794.0
weighted avg,0.7746283109762878,0.7837235228539576,0.7784044676197667,1794.0
