epoch,phase,loss,acc
1,train,1.0588833167456715,0.6220917267523973
1,val,0.9075605069470202,0.6562616127833519
2,train,0.8645906941709771,0.6640154612354122
2,val,0.8170933684798609,0.6871051653660349
3,train,0.7758534098835866,0.6944919348844124
3,val,0.7643500831835068,0.7001114827201784
4,train,0.7019295692576765,0.7233330855571248
4,val,0.7251230618161634,0.7183203270159793
5,train,0.637606053824479,0.7532148963056567
5,val,0.6927517363791216,0.7328130806391676
6,train,0.5721245777613166,0.7780420724002082
6,val,0.6626151239770091,0.7539947974730584
7,train,0.5070044819124656,0.8062885601724523
7,val,0.6412568485557435,0.7673727238944631
8,train,0.45341521335172713,0.8295547461532744
8,val,0.6342343848208343,0.771832032701598
9,train,0.39520616659593166,0.8589162268638966
9,val,0.6300791562245885,0.7777777777777778
10,train,0.3525768865362593,0.8746004608637479
10,val,0.6331046628037247,0.7814938684503903
11,train,0.3101852997868316,0.8925146807403553
11,val,0.6332514079772863,0.7814938684503903
12,train,0.26977287193554395,0.9105032334795213
12,val,0.6674042474167005,0.779635823114084
13,train,0.2363426661496711,0.9205381699249239
13,val,0.6476622055018537,0.781122259383129
14,train,0.2027747529169569,0.9349587452612801
14,val,0.6804661107014565,0.7852099591230026
15,train,0.1754908020599335,0.9461830075076192
15,val,0.6807462015739164,0.7822370865849126
16,train,0.15502597195108983,0.9513863078867167
16,val,0.7044475196058845,0.7818654775176515
17,train,0.129999231394539,0.9626849029956144
17,val,0.7179754602019227,0.7759197324414716
18,train,0.11462364007901553,0.9679625362372706
18,val,0.7549978145732175,0.7792642140468228
19,train,0.09549025365927578,0.9753958224931243
19,val,0.7574611521429486,0.7848383500557414
20,train,0.07791888604622778,0.9815654500854829
20,val,0.7710734285062594,0.7814938684503903
21,train,0.06434221712154216,0.9862484204266707
21,val,0.7882172990035209,0.7844667409884801
22,train,0.05674001504734601,0.9878094105404
22,val,0.8031597648263088,0.7852099591230026
23,train,0.05291862064447911,0.988775737753661
23,val,0.8272043208358723,0.7885544407283538
24,train,0.042443568440910025,0.9916003865308853
24,val,0.8436365971824176,0.7870680044593088
25,train,0.03566879475660806,0.9939047052702
25,val,0.8690547379490302,0.7881828316610926
26,train,0.030572889000675823,0.9958373596967219
26,val,0.8522998630496614,0.7892976588628763
27,train,0.026821166717774857,0.9963576897346318
27,val,0.8832858088902162,0.7859531772575251
28,train,0.026688839138963093,0.9956886939716049
28,val,0.8921291955765053,0.7848383500557414
29,train,0.023806610960663718,0.9962090240095147
29,val,0.8960468048089302,0.7874396135265701
30,train,0.02377695575470571,0.9961346911469562
30,val,0.9328542396907955,0.7881828316610926
31,train,0.023904284047657768,0.9965063554597489
31,val,0.9217212591071093,0.7885544407283538
32,train,0.017724157149513656,0.9979930127109196
32,val,0.9253880218272202,0.7959866220735786
33,train,0.01672722499698261,0.997918679848361
33,val,0.9456726831783042,0.7926421404682275
34,train,0.016286954478383072,0.9981416784360366
34,val,0.9397857978120474,0.7926421404682275
35,train,0.014055242527287078,0.9983646770237122
35,val,0.9673319570176838,0.7896692679301375
36,train,0.012806831662791162,0.9983646770237122
36,val,0.9560480489018669,0.7896692679301375
37,train,0.011654746063185971,0.998885007061622
37,val,0.9719307948193201,0.7870680044593088
38,train,0.010370498884347153,0.9988106741990634
38,val,0.9536185442891896,0.7915273132664438
39,train,0.009165752948267544,0.9991080056492976
39,val,0.9885487932644699,0.7926421404682275
40,train,0.009447984129361023,0.9989593399241805
40,val,1.0042019811473075,0.7896692679301375
41,train,0.00874190137874661,0.9989593399241805
41,val,0.9908521870367121,0.7922705314009663
42,train,0.0077569453951364855,0.9993310042369732
42,val,1.0066161315963613,0.7959866220735786
43,train,0.007257128910414305,0.9994053370995317
43,val,1.0083782882850805,0.7922705314009663
44,train,0.006882358431851546,0.9992566713744147
44,val,0.9975367822514418,0.7907840951319213
45,train,0.007022730021725124,0.9994053370995317
45,val,1.017124168728473,0.791898922333705
46,train,0.0055427593970667835,0.9996283356872074
46,val,1.022543876765338,0.7915273132664438
47,train,0.00501932690462399,0.9995540028246488
47,val,1.0140519633755782,0.7896692679301375
48,train,0.005767661064784562,0.9994053370995317
48,val,1.0469416776708431,0.791898922333705
49,train,0.0048020969914883155,0.999702668549766
49,val,1.0242562313210766,0.7881828316610926
50,train,0.003863563975358034,0.999702668549766
50,val,1.0401805814837366,0.7907840951319213
51,train,0.004897093484955615,0.9995540028246488
51,val,1.0364268868808597,0.7952434039390561
52,train,0.006121477013178176,0.999033672786739
52,val,1.0462958725547922,0.7866963953920476
53,train,0.005049079724167356,0.9994053370995317
53,val,1.0532142193656586,0.7870680044593088
54,train,0.005568494184966833,0.9991823385118561
54,val,1.0867389214856031,0.7870680044593088
55,train,0.00861325864758685,0.9991080056492976
55,val,1.0815892995998613,0.7907840951319213
56,train,0.006596276406989322,0.9991080056492976
56,val,1.075855368633406,0.7822370865849126
57,train,0.006335471005426201,0.999033672786739
57,val,1.0590717628037898,0.7870680044593088
58,train,0.004893825759329353,0.9994796699620903
58,val,1.0727295425828838,0.7937569676700111
59,train,0.0060316594280864656,0.9993310042369732
59,val,1.069080571284423,0.7800074321813453
60,train,0.004541206157884039,0.9994053370995317
60,val,1.0679187215857737,0.7866963953920476
